Iteración: 83, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 84, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 85, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 86, Fitness: 0.025841386103697, Valores: [0.059179301371739136, 0.25, 12.155798354723721]
Iteración: 87, Fitness: 0.025841386103697, Valores: [0.059179301371739136, 0.25, 12.155798354723721]
Iteración: 88, Fitness: 0.025841386103697, Valores: [0.059179301371739136, 0.25, 12.155798354723721]
Iteración: 89, Fitness: 0.025841386103697, Valores: [0.059179301371739136, 0.25, 12.155798354723721]
Iteración: 90, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 91, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 92, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 93, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 94, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 95, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 96, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 97, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 98, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 99, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 100, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 101, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 102, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 103, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 104, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 105, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 106, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 107, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
